"","kg_km2","X","Y","X.utm","Y.utm","month","year","depth","CHL","TMP_sst","TMP_bot","dox.bot","nit","pho","sal","poc"
"7061",11.8883897718739,16.8820833333333,39.576,661.65026055456,4382.39093778001,8,2018,62,0.0502303343300022,27.9801063537598,20.136137008667,220.040634155273,0.0594047275906183,0.0144630216463045,38.5554632921634,3.92191886901855
"7073",10.9476547695154,16.8396666666667,38.8711666666667,659.597147301533,4304.09196344542,8,2018,186.5,0.134670161412462,27.9030418395996,15.0632095336914,207.571075439453,0.276823917958698,0.0405928590154618,38.6458262876076,9.67673873901367
"7117",12.5904496125731,16.8835,41.565,657.048277198964,4603.19348143767,7,2018,136,0.108822630682012,25.3917407989502,13.9664134979248,217.742065429688,0.502117252998615,0.0710309632161987,38.7327026915702,8.94830322265625
"7238",10.75952045173,16.8354166666667,41.4365,653.340418559833,4588.84022121104,7,2018,109.5,0.134002801409877,25.5194225311279,13.7435331344604,218.121429443359,0.438600183293549,0.0691518099749695,38.5740689714813,11.6687240600586
"7276",8.8554541286196,16.85725,41.3180833333333,655.451926187051,4575.73398472669,7,2018,107,0.144499159547977,25.6537017822266,13.7036399841309,218.217971801758,0.478062525973593,0.073204207362043,38.480244552459,12.5591640472412
"7350",14.7804271628126,16.8220833333333,41.1845,652.816758966249,4560.83899364009,7,2018,56,0.258351481183846,25.8669090270996,14.2842664718628,217.638595581055,0.441104650702282,0.0424847464303943,38.0203219510556,26.0085792541504
"7398",10.9373485522287,15.3555,42.2600833333333,529.321482315287,4678.71666053977,8,2018,118,0.0954286999913869,27.8251628875732,13.9676141738892,217.751663208008,0.542279609238896,0.0851547818323633,38.6223967050344,9.22127246856689
"7420",11.9853493683416,14.9274166666667,42.8836666666667,494.071345202414,4747.9025666877,8,2018,213.5,0.0612471409322388,27.4629440307617,11.9465036392212,226.124389648438,0.675637438620633,0.0871209598331891,38.7611426272805,2.73904633522034
"7479",10.0453990068918,12.7980833333333,44.7523333333333,325.710059149558,4957.79310807027,8,2018,32.5,0.306287811114493,27.9716415405273,18.5294513702393,204.001083374023,0.602485151424172,0.0836911771328472,38.5755554906701,31.3023777008057
"7555",9.9812294118738,17.4295,42.50925,699.598648851125,4709.17497790412,7,2018,271,0.0753947278224746,24.9617156982422,14.3540143966675,215.990539550781,1.10257060608994,0.0954294379551236,38.8516105678227,0.704201400279999
"7597",8.74353877642617,17.52375,42.78375,706.427971910545,4739.88451207201,7,2018,84.5,0.134908305770485,24.203332901001,15.251314163208,214.283264160156,0.320104375729313,0.0525283919377069,38.7843251322644,12.0840396881104
"7669",9.35299526893708,13.848,43.7543333333333,407.258848794072,4845.22888957872,8,2018,71,0.214269262910297,27.6302280426025,14.5377168655396,220.63655090332,0.380904572677802,0.0566774645921079,38.5325788727061,17.9225749969482
"7702",9.33503743385417,13.7528333333333,43.678,399.467270430731,4836.86573284327,8,2018,51.5,0.260828335526158,27.7646980285645,15.116530418396,217.083541870117,0.590135550425103,0.06091762476689,38.248637094213,26.6266498565674
"7778",13.3412824206842,15.1699166666667,42.9489166666667,513.859740752822,4755.1542545923,7,2018,218,0.080238782728602,25.1481781005859,12.3132514953613,225.711517333984,0.549647311610976,0.0810653840158899,38.7295578791592,3.88084411621094
"7788",9.48288356549565,15.1599166666667,42.6806666666667,513.100469886369,4725.37045910225,8,2018,160.5,0.0770963704780224,27.5441608428955,12.8466606140137,220.240707397461,0.574674507231331,0.0904513442015039,38.7341965672687,6.21291017532349
